index,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,SolZ_F,SenZ_F,SCA_F,SolZ_B,SenZ_B,SCA_B,lc,province,month,season,Fine_Mode_AOD_500nm
NEON_UKFS,0.2427583,0.12976138,0.09318189,0.13792449,0.20335086,0.26000097,0.11641837,0.112725414,0.20510776,0.29569405,57.00937,29.076994,98.584045,57.072395,29.236101,138.70784,60,15,2,4,0.0497799
UH_Liberty,0.24830756,0.123725265,0.080205426,0.31004047,0.16823253,0.22178544,0.104960054,0.06775585,0.35066465,0.1857541,32.96739,37.048252,113.22007,33.106773,37.200455,137.12358,130,42,9,3,0.0827375
Granite_Island,0.35636514,0.21048637,0.099277906,0.07485878,0.068538114,0.38484845,0.20046806,0.20398238,0.15849262,0.17579503,67.82536,28.953974,94.8555,67.91899,29.113136,136.89104,210,21,11,3,0.0714305
Goldstone,0.2282488,0.1829124,0.27206978,0.33699742,0.43053865,0.25431275,0.28327408,0.36700967,0.44796973,0.5123332,25.992657,24.551577,138.64304,26.173206,24.716425,173.74564,120,4,5,1,0.011991417
NEON_SRER,0.26704884,0.17007549,0.2073966,0.27650437,0.3512884,0.25184944,0.217147,0.2640212,0.35746804,0.405441,25.330467,38.955345,142.19453,25.544815,39.020866,166.08754,120,2,5,1,0.0255532
Los_Alamos,0.21061894,0.16426829,0.1534632,0.23068686,0.19747072,0.2301313,0.14711165,0.17713234,0.27480534,0.2585728,58.605957,22.44774,98.95057,58.696064,22.660398,140.90962,200,30,11,3,0.01924125
NEON_OAES,0.24016663,0.1328952,0.14557472,0.282672,0.30882922,0.22295758,0.17403555,0.18500733,0.38861462,0.38051972,22.820255,31.36417,142.6662,23.008478,31.528215,171.44945,130,35,7,2,0.118150385
NEON_ONAQ,0.2517186,0.15903601,0.18317764,0.25192794,0.33247244,0.24875407,0.21547282,0.2692853,0.3393823,0.42892984,26.811626,37.091934,138.99876,26.995157,37.20946,167.93477,120,43,6,2,0.083526357
GSFC,0.24466194,0.11992866,0.073763534,0.19628078,0.1620867,0.2594688,0.14668618,0.13000049,0.27340788,0.21284519,52.112713,22.069645,106.19394,52.22539,22.29632,147.37856,190,19,10,3,0.0453122
NASA_LaRC,0.24252819,0.12618525,0.0779866,0.24352029,0.15952536,0.22887155,0.12817515,0.09968352,0.2845424,0.15637946,30.566807,33.746647,117.677505,30.698092,33.872868,141.9022,190,45,4,1,0.100033
Monterey,0.22413875,0.17313209,0.19025847,0.21452822,0.2179222,0.22268347,0.1846509,0.21029931,0.27597135,0.24484852,21.159966,21.975943,139.78874,21.345211,22.198572,163.5292,190,4,6,2,0.0202298
ARM_SGP,0.29072317,0.17382193,0.18014887,0.31602192,0.3377526,0.32798755,0.20015559,0.23563907,0.38264307,0.41419968,62.715683,37.496872,97.81699,62.818253,37.670788,136.90765,11,35,1,4,0.052915429
Railroad_Valley,0.24531426,0.23169886,0.3278068,0.35449213,0.3720028,0.3091519,0.3731032,0.43750882,0.47024816,0.46915117,54.633247,24.922468,107.0966,54.75323,25.11357,149.73871,200,27,10,3,0.0377445
Modesto,0.2743286,0.15464093,0.15846264,0.2597623,0.19554405,0.2517109,0.20612429,0.18540943,0.35559434,0.26323697,25.333641,39.323505,140.59131,25.534124,39.460716,164.99109,190,4,6,2,0.03394525
GSFC,0.27366653,0.280144,0.16176051,0.20906025,0.18164413,0.31532413,0.25928903,0.23568894,0.41171235,0.282656,29.218203,22.086924,129.71935,29.348612,22.318134,163.49547,190,19,8,2,0.3944565
Missoula,0.27281448,0.17361249,0.15443256,0.20051421,0.24651228,0.29008448,0.2024068,0.20143457,0.25711876,0.30606538,52.475258,35.6125,109.099754,52.57818,35.765305,148.66223,190,25,3,1,0.0455673
NEON_CLBJ,0.21236901,0.103621505,0.08017884,0.22777328,0.21944731,0.206159,0.10334592,0.09890531,0.20884016,0.2838079,32.899654,34.22491,116.13885,33.014713,34.398624,142.89139,130,42,3,1,0.025875214
NEON_TEAK,0.23487644,0.12275135,0.07654682,0.19047794,0.068948865,0.24984969,0.11757766,0.095540605,0.25058293,0.12573011,60.629097,30.098606,98.971375,60.706406,30.302732,140.70686,70,4,1,4,-0.002212385
GSFC,0.30419138,0.2598608,0.1733116,0.34061489,0.30884773,0.6770992,0.8131374,0.8177017,0.91956794,0.3626215,46.126316,22.059063,112.29794,46.243023,22.292904,152.67955,190,19,9,3,0.046296
Kellogg_LTER,0.29866534,0.17889033,0.14056426,0.2453588,0.26434916,0.3306225,0.19823065,0.21462464,0.2997031,0.35414132,37.02501,25.664036,117.59383,37.14159,25.8322,150.99886,11,21,4,1,0.087874
